text_a,text_b,label,clusterA,clusterB
"The Mount Pleasant Hotel, 50 Belle Vue Terrace Great Malvern  Worcestershire, Malvern Hills, West Midlands, WR144PZ","Mount Pleasant Hotel, 50, Belle Vue Terrace, Malvern, Malvern Hills, West Midlands, WR144PZ",1,2270,2270
"Courtyard London City Airport, 10 Connaught Road, Silvertown, Newham, London, E162AE","Courtyard by Marriott London City Airport, 10, Connaught Road, London, Newham, E162AE",1,3109,3109
"Park Grand London Kensington, 27/37 Hogarth Road Kensington KensingtonLondon, Kensington and Chelsea, SW50QQ","Aquarius Hotel, 20-22, Hogarth Road",0,55,3207
"Prom Hotel, 77 Marine Parade Great YarmouthNorfolk, East of England, NR302DH","No. 78, Marine Parade, Great Yarmouth",0,828,3402
"The Prince Regent, 29 Regency Square East Sussex Brighton, Brighton and Hove, South East, BN12FH","Artist Residence, 33, Regency Square, Brighton and Hove, South East, BN12GG",0,2842,1670
"Premier Inn Manchester Altrincham, Manchester Road AltrinchamCheshire, Trafford, North West, WA144PH","Premier Inn, Manchester Road, Altrincham, Trafford, North West, WA144PH",1,1207,1207
"The Grosvenor View Guest house, King Edward Avenue, 7 BLACKPOOL, North West, FY29TD","Kings Court Hotel, 34, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0,848,554
"Norton Lodge, OLD HARBOUR FARM, NORTON DISNEY LINCOLN, North Kesteven, East Midlands, LN69JR","Norton Lodge, Lincoln, , GB, North Kesteven, East Midlands, LN69JR",1,1837,1837
"Ye Olde Bulls Head Inn & Townhouse, Castle Street BeaumarisAnglesey, Isle of Anglesey, LL588AP","Olde Bull's Head, 12-14, Castle Street, Beaumaris, Isle of Anglesey, LL588AP",1,1446,1446
"Studio Stay, 26 Fleet Street Liverpool, North West, L14AN","Epic Apart Hotel, 25-27, Seel Street, Liverpool, North West, L14AU",0,408,2979
"Cotswold House, 363 Banbury Road Oxford, South East, OX27PL","Cotswold House Bed & Breakfast, 363, Banbury Road, Oxford, , United Kingdom, South East, OX27PL",1,1434,1434
"Sidney Hotel London Victoria, 68 76 Belgrave Road Victoria VictoriaLondon, Westminster, SW1V2BP","Huttons Hotel, Victoria London, 55, Belgrave Road, London, , United Kingdom, Westminster, SW1V2BB",0,1171,3601
"The Scala, 22 Clifton Drive Blackpool, North West, FY41NX","Henson Hotel, 23, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NT",0,160,770
"Ty Carthen Bed and Breakfast, 12 Abbey Road Llandudno Conwy, LL302EA","Bryn Derwen Guest House, 34, Abbey Road, Llandudno, , GB, Conwy, LL302EE",0,1779,3093
"The Derby Hotel Guest house, 2 Derby Road North Shore Blackpool, North West, FY12JF","The Derby Hotel, 2, Derby Road, Blackpool, , United Kingdom, North West, FY12JF",1,1507,1507
"Modern in the Heart of Bristol, Baldwin Street, Bristol, City of, South West, BS11RU","Radisson Hotel Blu, Broad Quay, Bristol, Bristol, City of, South West, BS14BY",0,3049,899
"The Queensbury Hotel, 58 Regency Square Brighton, Brighton and Hove, South East, BN12FF","The Queensbury, 58, Regency Square, Brighton and Hove, South East, BN12FF",1,2676,2676
"The Darfield Hotel, 54 Charnley Road Blackpool, North West, FY14PF","The Darfield Hotel, 54, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",1,84,84
"Borderers Guesthouse, 47 Watton Brecon, Powys, LD37EG","The Gremlin Hotel, 48, The Watton, Brecon, , GB, Powys, LD37EG",0,3210,2472
"Holly House Hotel, 20 Hugh Street Victoria  London London Victoria, Westminster, SW1V1RP","Ivy House Hotel, 18, Hugh Street",0,2840,668
"Trewern Arms Hotel Nevern Nr Pembrokeshire Pembrokeshire Newport, SA420NB","Trewern Arms Hotel, Nevern / Nanhyfer, Pembrokeshire, SA420NB",0,2513,3490
"The Edinburgh Residence, 7 Rothesay Terrace Edinburgh, City of Edinburgh, EH37RY","The Edinburgh Residence, 7, Rothesay Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH37RY",1,114,114
"Lancaster Hotel, Esplanade  ObanArgyll, Argyll and Bute, PA345AD","The Lancaster Hotel, Corran Esplanade, Oban, , GB, Argyll and Bute, PA345AD",1,1274,1274
"Lydford Country House, Lydford Okehampton, West Devon, South West, EX204AU","Lydford House Hotel, School Road, Okehampton, , United Kingdom, West Devon, South West, EX204AU",1,1737,1737
"The Marble Arch London, 31 Great Cumberland Place London, Westminster, W1H7TA","Park Grand Marble Arch, 31, Great Cumberland Place, London, Westminster, W1H7TA",1,3298,3298
"Jessop House, 65 Church Street Tewkesbury Gloucestershire, South West, GL205RZ","The Bell, Church Street, Tewkesbury, South West, GL205SA",0,3230,724
"West End Hotel, 14 Main Street KirkwallOrkney, Orkney Islands, KW151BU","West End, 14, Main Street, Kirkwall, , United Kingdom, Orkney Islands, KW151BU",1,1350,1350
"The Belvedere, 91-93 Albert Road  Blackpool, North West, FY14PW","Royal Alexandra Hotel, 74, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0,178,3701
"Croydon Park, 7 Altyre Road Croydon, CR95AA","Croydon Park Hotel, 7, Altyre Road, Croydon, CR95AA",1,294,294
"Premier Inn London Southwark, Bankside 34 Park Street BanksideLondon, Southwark, SE19EF","Premier Inn, 34, Park Street, London, Southwark, SE19EF",1,1831,1831
"The Royal Windsor Hotel, 245-249 Central Promenade Blackpool, North West, FY16AH","Crystals On The Prom, 263, Promenade, Blackpool, , GB, North West, FY16AH",0,1807,118
"DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort, 1 St Andrews Drive Cumbernauld Cumbernauld, North Lanarkshire, G680EW","DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort, 1, St Andrews Drive, Glasgow, North Lanarkshire, G680EW",1,1636,1636
"Sea Dreams Hotel, 2-4 Clifton Drive Blackpool, North West, FY41ND","Corona Hotel, 18-20, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NX",0,3440,3489
"The Globe Hotel, 34 Fore Street Topsham Topsham Exeter, South West, EX30HR","The Globe, Fore Street, Exeter, , United Kingdom, South West, EX30HR",1,1477,1477
"Belmont Hotel Leicester, De Montfort Street Leicester, East Midlands, LE17GR","Belmont House Hotel, 20, De Montfort Street, Leicester, East Midlands, LE17GR",1,655,655
"The Windsor Hotel, 21 King Edward Avenue North Shore Blackpool, North West, FY29TA","Northcrest, 22, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0,554,3385
"The White House Manor, New Road PrestburyCheshire, Cheshire East, North West, SK104HP","The White House Manor Hotel, New Road, Prestbury, Cheshire East, North West, SK104HP",1,1304,1304
"Oban House, 63 Holmfield Road Blackpool, North West, FY29RU","Oban House Hotel, 63, Holmfield Road, Blackpool, , United Kingdom, North West, FY29RU",1,288,288
"Fairhaven Hotel, 7-9 Charnley Road Blackpool, North West, FY14PE","The Fairhaven Hotel, 7-9, Charnley Road, Blackpool, , United Kingdom, North West, FY14PE",1,378,378
"The Nayland, 132-134 Sussex Gardens London, Westminster, W21UB","Queensway Hotel, 147-149, Sussex Gardens, London",0,2519,3092
"Spindrift Dumfries, Spindrift Southerness, Dumfries and Galloway, DG28AZ","Paul Jones Hotel, C22n, , United Kingdom, Dumfries and Galloway, DG28BB",0,1056,1857
"Crowne Plaza Chester, Trinity Street Chester, Cheshire West and Chester, North West, CH12BD","Crowne Plaza, Trinity Street, Chester, Cheshire West and Chester, North West, CH12BD",1,766,766
"Beach Houses With Hot Tubs, Kentallen Pier, Highland, PA384BY","Holly Tree Hotel, A828, Kentallen, , United Kingdom, Highland, PA384BF",0,3891,3586
"Fisherman's Cot, Bickleigh TivertonDevon, Mid Devon, South West, EX168RW","The Fisherman's Cot, Exeter Road, Tiverton, Mid Devon, South West, EX168RW",1,3158,3158
"The Headlands, 611-613 New South Promenade Blackpool Lancashire, North West, FY41NJ","Headlands, 611-613, New South Promenade, Blackpool, , United Kingdom, North West, FY41NJ",1,1091,1091
"Holiday Inn Chester South, Wrexham Road Chester, Cheshire West and Chester, North West, CH49DL","Holiday Inn Chester South, Wrexham Road, Chester, Cheshire West and Chester, North West, CH49DL",1,1786,1786
"The Oakland Hotel, 2 6 Reeves Way South Woodham FerrersEssex, Chelmsford, East of England, CM35XF","Oakland Hotel, Reeves Way, South Woodham Ferrers, , United Kingdom, Chelmsford, East of England, CM35XF",1,246,246
"The Bromley, 306 N Promenade BlackpoolLancashire, North West, FY12EY","Park House Hotel, Promenade, Blackpool, North West, FY12HA",0,2605,3420
"Twelve Apartments, 12 King Edward Avenue, Blackpool, North West, FY29TD","The Berwick, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0,2052,554
"The Melville Hotel, 38-39 Argyle Square London, Camden, WC1H8AL","The Jesmond Dene, 31, Argyle Street, London, , United Kingdom, Camden, WC1H8EN",0,588,2253
"SACO Bristol Broad Quay, Central Quay South Broad QuayBristol, Bristol, City of, South West, BS14AW","Bristol Marriott Royal Hotel, College Green, Bristol, , GB, Bristol, City of, South West, BS15TA",0,3766,3871
"The Morton Hotel, 2 Woburn Place London, Camden, WC1H0LH","Morton Hotel, 2, Woburn Place, London, , United Kingdom, Camden, WC1H0LH",1,932,932
"Premier Inn London Kensington, 11 Knaresborough Place Earls Court London, Kensington and Chelsea, SW50TJ","Premier Inn London Kensington (Earl's Court), 11, Knaresborough Place, London, Kensington and Chelsea, SW50TJ",1,2460,2460
"Hampton Court Palace Hotel, 35 Hampton Street London, Southwark, SE173AN","Hampton Court Palace Hotel, 35, Hampton Street, London, Southwark, SE173AN",1,2152,2152
"Manor Apartments, 28A Manor Road, Bournemouth, Christchurch and Poole, South West, BH13EZ","The Normandie Hotel, 61, Manor Road, Bournemouth, Christchurch and Poole, South West, BH13HL",0,1067,471
"Clayton Hotel Cardiff, St Mary Street Cardiff Wales, CF101GD","Clayton Hotel, Saint Mary Street, Cardiff, CF101GD",1,1733,1733
"River side Apartment In Bristol, Bath Street, Bristol, City of, South West, BS16LB","Premier Inn, Counterslip, Bristol, Bristol, City of, South West, BS16BX",0,1427,3748
"The Darlington Hyde Park, 111 117 Sussex Gardens Paddington Paddingto London, NW22RU","KingswayPark Hotel at Park Avenue, 139, Sussex Gardens, London, Westminster, W22RX",0,1014,1109
"Waverley Inn, 1 Castle Street Dingwall Highland, IV159HU","The Waverley Inn, Castle Street, Dingwall, , United Kingdom, Highland, IV159HU",1,2301,2301
"Albert Hotel, 117 Albert Road Blackpool, North West, FY14PW","The Sutcliffe Hotel, 70-72, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0,2138,3202
"Queens Square Brighton Guest Homes, Flat 1 4 Queens Square, Brighton and Hove, South East, BN13FD","Q Square, 11, Queen Square, Brighton, Brighton and Hove, South East, BN13FD",1,1772,1772
"Rhodes Hotel, 195 Sussex Gardens London Hyde Park, Westminster, W22RJ","Europa House Hotel, 151, Sussex Gardens, London",0,3445,656
"Cambridge House Hotel, 1 Cambridge Street MillomCumbria, Cumberland, North West, LA185BD","Cambridge House Hotel, Cambridge Street, Millom, Cumberland, North West, LA185BD",1,2224,2224
"Seacliffe, 10 craig y don parade, Conwy, LL301BG","The Manor Hotel, 1, Craig Y Don Parade, Llandudno, , GB, Conwy, LL301BG",0,1729,3901
"Royal Hotel, 33 Castle Street Forfar DundeeForfarAngus, DD83AE","Royal Hotel, 33, Castle Street, Forfar, , United Kingdom, Angus, DD83AE",1,2628,2628
"Owain Glyndwr Hotel, The Square Corwen, Denbighshire, LL210DL","Owain Glyndwr Hotel, The Square, Corwen, , GB, Denbighshire, LL210DL",1,1996,1996
"St Chads Hotel, 317-327 The Promenade Blackpool, North West, FY16BN","Lyndene Hotel, 303-315, Promenade, Blackpool, North West, FY16AN",0,3844,2650
"Rhodes Hotel, 195 Sussex Gardens London Hyde Park, Westminster, W22RJ","Alexandra Hotel, 159-161, Sussex Gardens, London, Westminster, W22RY",0,3445,3535
"Alderley Edge Hotel, Macclesfield Road Cheshire Alderley EdgeCheshire, Cheshire East, North West, SK97BJ","Alderley Edge Hotel, Macclesfield Road, Cheshire East, North West, SK97BJ",1,3559,3559
"Talbot Square 9 London, Westminster, W21TR","Lancaster Court Hotel, 202-204",0,1941,3807
"The Carlton, 64 Albert Road Blackpool, North West, FY14PR","The New Oxford Hotel, 66-68, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",1,1692,1692
"Mitre House Hotel, 178-186 Sussex Gardens London, Westminster, W21TU","Hotel Columbus, 141, Sussex Gardens, London",0,933,3630
"Travelodge Washington A1(M) Southbound, Moto Service Area A1(M)PortobelloWashington, Gateshead, North East, DH32SJ","Travelodge, Washington Services Northbound, Chester-le-Street, Gateshead, North East, DH32SJ",1,829,829
"Hotel Indigo Edinburgh Princes Street, 20 Princes Street Edinburgh, City of Edinburgh, EH22AN","Hotel Indigo, 20, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22AN",1,2716,2716
"Suites Hotel & Spa, Ribblers Lane Knowsley PrescotMerseyside Liverpool, North West, L349HA","Holiday Inn Express, Ribblers Lane, Knowsley, , United Kingdom, North West, L349HA",0,669,324
"The Sea Hotel - Sure Hotel Collection by Best Western, Sea Road South ShieldsTyne & Wear, South Tyneside, North East, NE332LD","The Sea Hotel, Sea Road, South Shields, South Tyneside, North East, NE332LD",1,1128,1128
"Cabarfeidh Hotel, Perceval Road South Perceval Road SouthStornowayIsle Of Lewis, Na h-Eileanan Siar, HS12EU","The Caberfeidh, Perceval Road South, Stornoway, , GB, Na h-Eileanan Siar, HS12EU",1,3589,3589
"Canasta Hotel, 288 290 North Promenade BlackpoolLancashire, North West, FY12EY","Carlton Hotel, 282-286, Promenade, Blackpool, North West, FY12EZ",0,3201,2236
"Royal Cambridge Hotel, 124-126 Sussex Gardens London, Westminster, W21UB","The Omega Hotel, 136, Sussex Gardens",0,1388,448
"Apartment In Brighton With Sea View, Regency Square, Brighton and Hove, South East, BN12FJ","The Queensbury, 58, Regency Square, Brighton and Hove, South East, BN12FF",0,359,2676
"Hilton Aberdeen TECA, East Burn Road Stoneywood, Aberdeen City, AB219FX","Hilton Aberdeen TECA, East Burn Road, Aberdeen, Aberdeen City, AB219FX",1,1245,1245
"Royal Cambridge Hotel, 124-126 Sussex Gardens London, Westminster, W21UB","Orchard Hotel, 86-90, Sussex Gardens, London, Westminster, W21UH",0,1388,1121
"Devonport Hotel, 16 18 The Front Middleton One Row Middleton One RowDarlingtonDurham, North East, DL21AS","The Devonport, 16-18, The Front, Darlington, North East, DL21AS",1,1789,1789
"Castlecary House Hotel, Castlecary Road Castlecary CastlecaryGlasgow, North Lanarkshire, G680HD","Castlecary Hotel, Castlecary Road, North Lanarkshire, G680HD",1,867,867
"Strawberry Fields, 6 7 New Steine Brighton, Brighton and Hove, South East, BN21PB","The Charm Brighton Boutique Hotel, 20-21, New Steine, Brighton, , United Kingdom, Brighton and Hove, South East, BN21PD",0,310,2744
"Bull Auberge, Ipswich Road Yaxley YaxleyEyeSuffolk, Mid Suffolk, East of England, IP238BZ","The Auberge, Ipswich Road, Mid Suffolk, East of England, IP238BZ",1,2303,2303
"Staycity Aparthotels Greenwich High Road, 65 Greenwich High Road London, SE108JL","Staycity Aparthotels, 65, Greenwich High Road, London, , United Kingdom, SE108JL",1,1765,1765
"Haughton Hall, Haughton Lane Shifnal Shropshire, West Midlands, TF118HG","Haughton Hall, Haughton Lane, Shifnal, , GB, Shropshire, West Midlands, TF118HG",1,1167,1167
"A To B Hotel, 9 Hanger Lane Ealing CommonLondon, W53HH","DoubleTree by Hilton Hotel London - Ealing, 2-8, Hanger Lane, London, W53HN",0,3921,152
"Anglesey House, 21 Church Walk Llandudno, Conwy, LL302HG","The Llandudno Hotel, 10, Church Walks, Llandudno, , GB, Conwy, LL302HG",0,2775,1315
"Premier Inn Northwich Sandiway, 520 Chester Road Sandiway  Northwich Cheshire SandiwayNorthwich, Cheshire West and Chester, North West, CW82DN","Premier Inn, 520, Chester Road, Northwich, Cheshire West and Chester, North West, CW82DN",1,3330,3330
"The Belvedere, 91-93 Albert Road  Blackpool, North West, FY14PW","The Carlton, 64, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",0,178,1692
"The Darlington Hyde Park, 111 117 Sussex Gardens Paddington Paddingto London, NW22RU","Normandie Hotel, 96, Sussex Gardens, London, Westminster, W21UH",0,1014,188
"The Saxby Hotel, 12 Saxby Avenue SkegnessLincolnshire, East Lindsey, East Midlands, PE253LG","The Saxby Hotel, 12, Saxby Avenue, Skegness, , GB, East Lindsey, East Midlands, PE253LG",1,209,209
"Wildings Hotel, 14 North Parade Llandudno, Conwy, LL302LP","Elm Tree Hotel, 24, North Parade, Llandudno, , GB, Conwy, LL302LP",0,2463,3568
"The Falstaff Ramsgate, 16-18 Addington Street Ramsgate, Thanet, South East, CT119JJ","The Falstaff Hotel and Restaurant, 18, Addington Street, Ramsgate, Kent, , GB, Thanet, South East, CT119JJ",1,3351,3351
"The Mariner Hotel, Great Western Road Aberdeen, Aberdeen City, AB106NW","The Mariner, 349, Great Western Road, Aberdeen, Aberdeen City, AB106NW",1,2503,2503
"Kings Head Hotel, 24 Market Place Cirencester, Cotswold, South West, GL72NR","Kings Head, 24, Market Place, Cirencester, Cotswold, South West, GL72NR",1,1431,1431
"Haven Hotel, 6 8 Sussex Gardens London, Westminster, W21UL","Nayland Hotel, 132-134, Sussex Gardens, London",0,3250,2519
"Beachcliffe Holiday Apartments, 3 King Edward Avenue Blackpool, North West, FY29TD","Kings Court Hotel, 34, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",0,848,554
"Siskin, 2 Mawddwy Cottages Dinas Mawddwy, Gwynedd, SY209LW","Buckley Arms Hotel, Dinas Mawddwy, , GB, Gwynedd, SY209LP",0,3888,136
"The Hardwicke Arms, 96 ermine way, South Cambridgeshire, East of England, SG80AH","Hardwicke Arms Hotel, 96, Ermine Way, South Cambridgeshire, East of England, SG80AH",1,3632,3632
"Globe Hotel, 71 North Station Road ColchesterEssex, East of England, CO11RQ","Globe Hotel, 71, North Station Road, Colchester, East of England, CO11RQ",1,1119,1119
"Citadines Trafalgar Square London, 18/21 Northumberland Avenue London, Westminster, WC2N5EA","Club Quarters Hotel, Northumberland Avenue, City of Westminster, , United Kingdom, London, WC2N5BX",0,2362,3879
"Glenlossie Guest House, 75 Annan Road Dumfries, Dumfries and Galloway, DG13EG","Caledonian Hotel, 67, Annan Road",0,3494,3733
"Brooklands Over 50's Only, 28/30 King Edward Avenue Blackpool, North West, FY29TA","Beauchief Hotel, 48, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",1,554,554
"Bebington Hotel, Town Lane Bebington, Wirral, North West, CH635JG","The Bebington Hotel, 24, Town Lane",0,3655,1236
"The Swiss Cottage Shanklin, 10 St Georges Road, Isle of Wight, South East, PO376BA","Swiss Cottage, 10, St Georges Road, Shanklin, , GB, Isle of Wight, South East, PO376BA",1,1504,1504
"Yotel London City, 96-100 Clerkenwell Road, Islington, London , United Kingdom, EC1M5RJ","YOTEL London City, 60-100, Clerkenwell Road, London, Islington, EC1M5RJ",1,1657,1657
"Premier Inn Swanley, London Road SwanleyKent, Sevenoaks, South East, BR87QD","Premier Inn, London Road, Swanley, Sevenoaks, South East, BR87QD",1,2031,2031
"Fairhaven Hotel, 7-9 Charnley Road Blackpool, North West, FY14PE","The Kings Cross Hotel, 44, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0,378,84
"Tregonholme Hotel, Tregonwell Road Bournemouth, Bournemouth, Christchurch and Poole, South West, BH25NT","The Blue Palms Hotel, 26, Tregonwell Road, Bournemouth, Christchurch and Poole, South West, BH25NS",0,2860,676
"Belmont Llandudno, Belmont 21 North Parade Llandudno, Conwy, LL302LP","Milverton Hotel, 3, North Parade, Llandudno, , GB, Conwy, LL302LP",0,2388,3430
"Vinnie's Family Hotel, 205 Promenade, Blackpool, North West, FY15DL","Craig-y-Don Hotel, 209-213, Promenade, Blackpool, North West, FY15DL",0,1101,3205
"Milton Tower Hotel, West Bay Victoria Parade Dunoon Argyll, Argyll and Bute, PA237HU","St Ives Boutique Hotel, 58 Victoria Parade, 58, Victoria Parade, Dunoon, , GB, Argyll and Bute, PA237HU",1,1648,1648
"Church Guesthouse, 109 Cathedral Road Cardiff, CF119PH","Church Guest House, 109, Cathedral Road, Cardiff, , GB, CF119PH",1,3751,3751
"Doriam Guest House, 35 Windsor Crescent, East Riding of Yorkshire, Yorkshire and The Humber, YO153HX","Doriam Guest House, 35, Windsor Crescent, Bridlington, , GB, East Riding of Yorkshire, Yorkshire and The Humber, YO153HX",1,1981,1981
"Mill Hotel & Spa Destination, Milton Street Chester, Cheshire West and Chester, North West, CH13NF","Mill Hotel & Spa, Milton Street, Chester, Cheshire West and Chester, North West, CH13NF",1,1764,1764
"Brighton Metro Pad, 122A Kings Road Brighton, Brighton and Hove, South East, BN12FA","Selina Brighton, 135,136, Kings Road, Brighton, , GB, Brighton and Hove, South East, BN12HX",0,2882,1425
"citizenM Glasgow hotel, 60 Renfrew Street corner of Hope StreetGlasgow, Glasgow City, G23BW","CitizenM Hotel, 60, Renfrew Street, Glasgow, , United Kingdom, Glasgow City, G23BW",1,1398,1398
"The Lord Street Hotel, BW Signature Collection, 178-180 Lord Street Southport, Sefton, North West, PR90QG","Bold Hotel, 583, Lord Street, Southport, Sefton, North West, PR90BE",0,440,348
"Prince William Hotel, 42-44 Gloucester Terrace London, Westminster, W23DA","Chilworth Court, 125-129, Gloucester Terrace, London, , GB, Westminster, W26DX",0,3808,722
"Gilbey's Bar & Restaurant, 82-83 High Street Windsor, Windsor and Maidenhead, South East, SL46AF","The Crown and Cushion, 84, High Street, Windsor and Maidenhead, South East, SL46AF",1,1607,1607
"The Queens Hotel, 24 Commercial Street LerwickShetland Islands, ZE10AB","Queens Hotel, 24, Commercial Street, Shetland, , United Kingdom, Shetland Islands, ZE10AB",1,1340,1340
"Albion House At Ramsgate, Albion House Albion Place  Ramsgate, Thanet, South East, CT118HQ","Albion House, 27, Albion Place, Ramsgate, Thanet, South East, CT118HQ",1,2966,2966
"Hyde Park Apartments, 8 Craven Hill Paddington London Westminster, W23DS","Park Grand London Lancaster Gate, 14-16, Craven Hill",0,558,2324
"Beinn Bhracaigh, 14 Higher Oakfield Pitlochry Perthshire, Perth and Kinross, PH165HT","Rosemount Hotel, 12, Higher Oakfield, Pitlochry, Perth and Kinross, PH165HT",1,1401,1401
"Hyde Park Court Hotel, 48 Norfolk Square Paddington PaddingtonLondon, Westminster, W21RT","Continental Hotel, 36-42, Norfolk Square, London, , GB, Westminster, W21RT",0,872,3102
"The Crosby Hotel, 59 Clifton Drive Blackpool, North West, FY41NT","Sinatra's Hotel, 8, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NX",0,1060,3812
"DoubleTree by Hilton London Victoria, 2 Bridge Place Victoria London, Westminster, SW1V1QA","DoubleTree by Hilton Hotel London - Victoria, 2, Bridge Place, London, Westminster, SW1V1QA",1,559,559
"Days Inn by Wyndham Stafford, Roadchef Motorway Service Area, M6 Southbound Staffordshire, Stone, England, West Midlands, ST150XE","Days Inn, Stafford, West Midlands, ST150XE",1,1420,1420
"The Bingham Townhouse, 15 Market Street Bingham Nottinghamshire Bingham, Rushcliffe, East Midlands, NG138AB","Bingham Townhouse, 15, Market Street, Nottingham, , GB, Rushcliffe, East Midlands, NG138AB",1,3389,3389
"Best Western Inverness Palace Hotel & Spa, 8 Ness Walk InvernessInverness-shire, Highland, IV35NG","Palace Hotel, 8, Ness Walk, Inverness, , United Kingdom, Highland, IV35NG",1,2148,2148
"Travelodge Manchester Piccadilly, 31 Picadilly Manchester, North West, M11LU","Travelodge, 31, Piccadilly, Manchester, , GB, North West, M11LU",1,1549,1549
"Hyde Park Court Hotel, 48 Norfolk Square Paddington PaddingtonLondon, Westminster, W21RT","Dolphin Inn - The Lodge, 44, Norfolk Square, London, GB",0,872,1885
"Castlebank Hotel, Mount Pleasant Conwy, LL328NY","Castle Bank Hotel, Mount Pleasant, Conwy, , GB, LL328NY",1,3384,3384
"The Aspire, 51 Albert Road Blackpool, North West, FY14TA","The New Sunset Hotel, 77-81, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",0,1823,178
"The Royal Hotel Clacton On Sea, 1 Marine Parade East Clacton-on-Sea, Tendring, East of England, CO151PU","Pacific Hotel, 7-9, Marine Parade East, Clacton-on-Sea, Tendring, East of England, CO151PS",0,1678,2389
"Fairhaven Hotel, 7-9 Charnley Road Blackpool, North West, FY14PE","The Lawton Hotel, 58-66, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0,378,84
"The Crown Hotel, High Street Langholm, Dumfries and Galloway, DG130JH","Eskdale hotel, Laird's Entry, Langholm, , United Kingdom, Dumfries and Galloway, DG130JH",0,3687,3278
"Nailcote Hall, Nailcote Lane Berkswell BerkswellWarwick, Solihull, West Midlands, CV77DE","Nailcote Hall, Nailcote Lane, Solihull, West Midlands, CV77DE",1,2550,2550
"Brooklands Over 50's Only, 28/30 King Edward Avenue Blackpool, North West, FY29TA","Deneley Hotel, 15, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TA",1,554,554
"Days Inn Hyde Park, 148-152 Sussex Gardens London, Westminster, W21UD","Rhodes Hotel, 195, Sussex Gardens, London",0,1626,842
"The Winter Garden Suites, 64 Adelaide Street Blackpool, North West, FY14LA","Adelaide House Hotel, 66-68, Adelaide Street, Blackpool, North West, FY14LA",1,277,277
"The Gables Hotel, 1 Annan Road Gretna Gretna Green, Dumfries and Galloway, DG165DQ","The Gables Hotel, 1, Annan Road, Gretna, , United Kingdom, Dumfries and Galloway, DG165DQ",1,3150,3150
"Marina Central, Flat 2, Brighton and Hove, South East, BN25UW","Malmaison, Waterfront, Brighton, , United Kingdom, Brighton and Hove, South East, BN25WA",0,8,717
"The Crosby Hotel, 59 Clifton Drive Blackpool, North West, FY41NT","Clifton Court Hotel, 12, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NX",0,1060,160
"The Aspire, 51 Albert Road Blackpool, North West, FY14TA","Fern Villa Hotel, 73, Albert Road, Blackpool, , United Kingdom, North West, FY14PW",0,1823,178
"La Tour, 92 94 Albert Road Blackpool, North West, FY14PR","La Tour, 92-94, Albert Road, Blackpool, , United Kingdom, North West, FY14PR",1,2930,2930
"La Suite West Hyde Park, 41 - 51 Inverness Terrace London, Westminster, W23JN","Whiteleaf Hotel, 66-68, Inverness Terrace",0,3070,2797
"Clifton Court Hotel, 12 Clifton Drive Blackpool, FY41XN","Elmfield Hotel, 25, Clifton Drive, Blackpool, , United Kingdom, North West, FY41NT",0,160,1035
"Eight Bells Inn, Church Street Chipping CampdenGloucestershire, Cotswold, South West, GL556JG","Eight Bells, Church Street, Cotswold, South West, GL556JG",1,2218,2218
"Old Waverley Hotel, 43 Princes Street Edinburgh, City of Edinburgh, EH22BY","The Old Waverley Hotel, 43, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22BY",1,1130,1130
"Travelodge Nottingham Central, Maid Marian Way Nottingham Nottinghamshire, East Midlands, NG16AJ","Travelodge Nottingham Central, 63, Main Marian Way, Nottingham, , United Kingdom, East Midlands, NG16AJ",1,982,982
"The Golden Lion Hotel, 114 High Street Northallerton, North Yorkshire, Yorkshire and The Humber, DL78PP","The Golden Lion, 114, High Street, Northallerton, North Yorkshire, Yorkshire and The Humber, DL78PP",1,524,524
"The Ickworth Hotel, Bury St Edmunds Bury Saint EdmundsSuffolk, West Suffolk, East of England, IP295QE","The Ickworth, Bury St Edmunds, West Suffolk, East of England, IP295QE",1,1112,1112
"The Great Western Hotel, Station Approach, Somerset, South West, TA11QW","The Great Western Hotel, Station Approach, Taunton, Somerset, , GB, South West, TA11QW",1,2162,2162
